project_name,k,best_solution_rsa_sammon,best_solution_rsa_kruskal,best_fitness_rsa_sammon,best_fitness_rsa_kruskal
AlbertMN_AssistantComputerControl,21,"[0.56995149 0.88986421 0.84765454 0.99099538 0.94008371 0.99908838
 0.94305762 0.9375653  0.99843122 0.99725433 0.96540901 0.90960983
 0.67925781 0.86135032 0.9610152  0.90807328 0.92595919 0.93117563
 0.91786001 0.9954551  0.76219505 0.98057562 0.94609436 0.87462752
 1.         0.97952511 0.96311592 0.96123339 0.99241311 0.99908084
 1.         0.99908084 0.47838397 0.97415762 0.87139357 0.89665981
 0.99853171 0.46972435 0.99846535 0.985115  ]","[1.         0.82023928 0.93657199 0.98981221 0.69522842 1.
 1.         0.90838878 0.99904581 0.99810059 0.97302417 1.
 0.99964842 0.99257626 0.7852886  0.99635576 0.98711464 0.98839345
 1.         0.83931832 0.8702505  0.99961028 0.99050653 0.92949075
 0.7281474  1.         0.80576863 0.99151422 0.99878291 0.9957655
 0.53204936 0.77573118 0.89680599 1.         1.         0.9995157
 0.99969329 0.95045903 0.98720648 1.        ]",0.00022842917133485233,3.921828489340352e-05
AlbertMN_AssistantComputerControl,23,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.05786452e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.62638200e-03 2.25637032e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.01683383e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.14236718e-04 1.82237057e-04 4.43080452e-06
 1.43776852e-02 2.53675711e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.95544086e-03 3.05318756e-03 0.00000000e+00
 2.02031538e-03 1.41442876e-03 0.00000000e+00 4.88342942e-03]","[0.1392033  1.         0.         0.43769059 0.76740729 0.91067982
 0.60437745 0.25848993 0.83726117 0.68095886 0.11132529 0.
 0.         0.41763968 0.         1.         0.         0.
 0.17515577 0.32226042 1.         0.88719708 0.86178107 1.
 0.         0.24371543 0.47150617 0.39726505 0.46172895 0.34783764
 0.46572612 0.71828562 0.         0.50042262 0.         0.24876635
 0.27468015 0.00875875 0.         0.43901411]",8.574453288268387e-05,5.069346911969781e-05
AlbertMN_AssistantComputerControl,25,"[0.         0.         0.00087094 0.10261978 0.03088713 0.00927635
 0.16411628 0.06161856 0.17987848 0.11325245 0.14927076 0.15494607
 0.06732294 0.09512524 0.05550043 0.21287931 0.         0.02932033
 0.         0.02037739 0.1381679  0.21435576 0.0721795  0.0182512
 0.         0.00834385 0.03956615 0.13074364 0.09109134 0.05288947
 0.05290757 0.0900427  0.1631237  0.09970841 0.01211854 0.04839403
 0.11428614 0.         0.         0.15051764]","[0.00511376 0.01374389 0.10116912 0.03114381 0.0269837  0.00566366
 0.05367318 0.00539917 0.03058181 0.06426457 0.13250935 0.00984656
 0.02139232 0.03884548 0.00112411 0.04023086 0.01940993 0.02506487
 0.05855545 0.00026778 0.01138021 0.07017102 0.07854706 0.03426901
 0.10994992 0.00844383 0.00833226 0.15719966 0.09966096 0.05247335
 0.01087859 0.01656222 0.07189461 0.05059227 0.12881466 0.03083513
 0.07296709 0.00814455 0.01583579 0.12245258]",6.761471999352978e-05,2.7505168795899565e-05
AlbertMN_AssistantComputerControl,27,"[0.00032368 0.         0.00119582 0.02433745 0.00573083 0.04061227
 0.10771694 0.03913303 0.04072397 0.02071275 0.         0.00150876
 0.04196614 0.00344963 0.06836753 0.0425251  0.         0.0062031
 0.00042919 0.0064931  0.04033062 0.01458911 0.05771084 0.015208
 0.05709645 0.00677412 0.00027388 0.06578275 0.06375247 0.02696
 0.02932096 0.00212556 0.02358343 0.01703618 0.00590597 0.00577758
 0.0269724  0.03217201 0.02229658 0.06314359]","[0.         0.         0.00248544 0.06798161 0.         0.00362177
 0.00712557 0.         0.060221   0.00639272 0.04199417 0.01343626
 0.12766492 0.15365069 0.         0.00714311 0.         0.
 0.         0.16554421 0.02760079 0.09068882 0.1445696  0.
 0.02915861 0.00329609 0.03360275 0.         0.01585361 0.16740057
 0.00749768 0.11584637 0.00382422 0.         0.04893254 0.09199157
 0.02921773 0.01324512 0.         0.09252955]",7.83345790448507e-05,1.300054757467114e-05
AlbertMN_AssistantComputerControl,29,"[0.5210949  0.55773454 0.81511899 0.95421782 0.83300068 0.9433801
 0.92148715 0.96474491 0.88838356 0.90127185 0.02312746 0.64843243
 0.68957927 0.46365942 1.         0.84623216 0.35422951 1.
 0.69013194 0.04915949 0.94514746 0.99100925 0.85112911 0.84398905
 0.88639971 0.83933159 0.20296908 0.97477089 0.98723407 1.
 1.         1.         0.87571498 1.         0.08832595 0.91496987
 0.99481941 1.         0.6956183  0.8654972 ]","[0.00198956 0.00168269 0.00740929 0.02249338 0.00198155 0.04911509
 0.09139751 0.12428557 0.02384439 0.08793153 0.01583534 0.1222708
 0.1019168  0.07204778 0.         0.05194501 0.00084214 0.00775761
 0.02433505 0.0278353  0.03632433 0.09543638 0.00378555 0.02506309
 0.00656035 0.02645917 0.00945516 0.10557766 0.03112912 0.06791672
 0.0279302  0.00128283 0.03264441 0.03475538 0.03599104 0.02931992
 0.05065662 0.10956397 0.         0.02854879]",7.005062580741814e-05,4.353023271243178e-06
AlbertMN_AssistantComputerControl,31,"[0.         0.02153558 0.07340526 0.         0.06235621 0.09922821
 0.0034533  0.08822642 0.14625058 0.0189263  0.19990245 0.0757048
 0.05684358 0.         0.05330835 0.08745544 0.         0.
 0.         0.         0.         0.00101007 0.20161544 0.
 0.         0.0512675  0.02834182 0.02283497 0.08561427 0.20770965
 0.04354564 0.05988609 0.15811567 0.04113372 0.0466712  0.08106959
 0.03588784 0.01484308 0.03496955 0.14106557]","[0.00091909 0.         0.00039138 0.04943076 0.00348168 0.06795881
 0.15883798 0.06216659 0.08610247 0.02985784 0.04826589 0.
 0.0142465  0.11840858 0.03422441 0.17189175 0.01790357 0.00401014
 0.00603415 0.05792503 0.06703155 0.04057082 0.00456731 0.1005277
 0.01106342 0.0196139  0.02042759 0.1002406  0.03889005 0.0493102
 0.0250673  0.00248555 0.0139078  0.03418011 0.03645793 0.01919707
 0.12488144 0.05289977 0.01013385 0.07788801]",9.288219653469643e-06,3.2038327422690445e-06
AlbertMN_AssistantComputerControl,33,"[0.11359468 0.26815553 0.68134596 0.74716208 0.         0.53677431
 0.283002   1.         0.54843413 0.63880363 1.         0.
 0.67139214 1.         1.         1.         1.         0.08055053
 1.         0.31682164 0.71525927 1.         0.98157199 0.86004888
 0.         1.         0.         0.98986768 1.         0.92419162
 0.5419105  0.83750563 1.         0.96491936 0.61893641 1.
 0.96795707 0.32136527 0.35828979 1.        ]","[0.18196757 0.         0.05607517 0.23935153 0.         0.12369679
 0.         0.06750901 0.14078681 0.16748976 0.01656419 0.18465826
 0.0440538  0.         0.         0.1359559  0.00132314 0.12459533
 0.09656781 0.09340871 0.         0.04216056 0.03328062 0.
 0.         0.14954414 0.20317548 0.13626647 0.1783561  0.11746625
 0.02393353 0.14488345 0.07221565 0.         0.06860958 0.
 0.19672303 0.06497405 0.01303278 0.03308189]",8.361868594017734e-06,1.7706664340032535e-06
AlbertMN_AssistantComputerControl,35,"[0.04178252 0.44989321 0.42822375 0.52921427 0.04808376 0.62772014
 1.         0.71545565 0.27080628 0.40154939 0.34242085 1.
 0.49805023 0.9654696  1.         0.87432352 0.38224882 0.0090437
 0.5104719  0.87933429 0.47693772 0.96509344 0.90557096 0.5664246
 0.03317098 0.11071135 1.         1.         0.97106779 0.21606855
 0.58235646 0.91364143 0.94982622 0.39896584 0.07542453 0.39049589
 0.63452482 0.78103295 0.84235389 0.25183976]","[0.7922513  0.49359815 1.         0.56459228 0.50787518 0.58364965
 0.81882546 0.9610016  1.         0.96626786 0.87873877 1.
 0.9613143  0.62747199 0.51276127 0.75094668 0.40128841 1.
 0.74986542 0.90270439 0.2757671  1.         1.         0.79998815
 1.         0.80975082 1.         0.55195815 0.65526757 0.85127425
 0.85382126 1.         0.77630897 0.85322298 0.75410225 1.
 1.         0.89912928 0.83983158 0.93858436]",4.4118674558203307e-07,1.0492833138257631e-07
AlbertMN_AssistantComputerControl,37,"[1.         1.         1.         0.25977542 1.         0.34047429
 0.13184722 1.         0.50409405 1.         0.90906973 1.
 1.         0.91920647 1.         0.21032615 0.06936239 0.00201087
 1.         0.08577825 0.02093791 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         0.33238295 1.         0.51372854 1.         0.68206056
 1.         0.44020475 0.35950434 0.17286529]","[0.         0.         0.         0.08327382 0.         0.02422866
 0.00122315 0.         0.         0.         0.00105669 0.08704007
 0.         0.01102929 0.02567882 0.04472289 0.         0.
 0.00308691 0.00050414 0.         0.00169624 0.         0.
 0.04023308 0.0657924  0.05100428 0.01906532 0.         0.06688778
 0.         0.0006102  0.         0.         0.         0.0009727
 0.00649988 0.         0.         0.03963556]",0.0,8.311221822487951e-13
AlbertMN_AssistantComputerControl,39,"[0.73341419 1.         0.72048733 0.87640065 0.63096618 1.
 0.59661629 0.89969206 0.85857032 0.99978071 0.95474631 0.99960566
 0.77863774 0.98405769 0.64673818 0.9989655  0.29398335 1.
 0.89540645 1.         0.27350589 0.74428536 0.40954707 1.
 0.97369696 0.77549225 0.98143476 0.84220226 0.99838397 0.93967571
 0.99853887 0.86086085 0.98211815 0.73914175 0.88944282 0.76146589
 0.97870717 0.71422094 0.8328218  0.98477902]","[0.78888392 0.92695682 0.65989274 0.14013824 0.41543896 0.88530974
 0.19124077 0.72038263 0.16835818 0.54128639 0.7984833  0.88254421
 0.73278596 0.27496887 0.0745241  0.44420162 0.45581624 0.37619682
 0.58999556 0.14135687 0.02727307 0.04507651 0.77950793 0.48199998
 0.78300178 0.94397829 0.4596849  0.35710172 0.37395369 0.2314645
 0.3272879  0.06215432 0.83250111 0.1248136  0.54937491 0.15883738
 0.96268967 0.71455675 0.06984513 0.31253102]",0.0,0.0
antonpup_Aurora,1,"[0.94004213 1.         1.         1.         0.65488661 0.92422463
 0.70051167 1.         1.         0.69990628 0.52934625 1.
 1.         0.90145314 1.         0.95132032 0.73696898 0.48802175
 0.78005353 0.68577587 1.         0.74440459 0.74287013 1.
 1.         0.65989024 1.         0.64410895 0.64122875 1.
 1.         0.59901678 0.67925066 0.53809737 0.2845919  1.
 0.92797327 0.70180517 1.         0.90289339]","[0.         0.04774257 0.02527759 0.         0.01627365 0.07796136
 0.         0.         0.         0.15735143 0.         0.
 0.         0.1508737  0.16445592 0.1081531  0.06400788 0.
 0.01379178 0.         0.         0.19734401 0.04228589 0.24911581
 0.09158364 0.07249912 0.         0.23440761 0.         0.26950956
 0.         0.         0.225657   0.113793   0.07167098 0.
 0.23171148 0.04288908 0.06395484 0.03638464]",0.28890258633697624,0.24232542374346244
antonpup_Aurora,3,"[0.00314296 0.         0.         0.         0.         0.
 0.         0.0028234  0.         0.0446999  0.         0.
 0.         0.         0.         0.         0.         0.
 0.01843204 0.         0.         0.01924393 0.         0.
 0.         0.00156405 0.00520095 0.         0.         0.05551861
 0.         0.         0.01634273 0.00150382 0.         0.
 0.         0.         0.         0.        ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.13594914 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.06383835 0.
 0.         0.         0.         0.         0.10652376 0.12404295
 0.         0.01818467 0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.12246580291324191,0.03614670972540485
antonpup_Aurora,5,"[0.0054839  0.         0.         0.         0.         0.
 0.         0.02375722 0.05147893 0.08263325 0.         0.03806831
 0.         0.         0.         0.05349414 0.         0.
 0.01897757 0.         0.         0.         0.01582249 0.00711359
 0.         0.         0.09224104 0.         0.         0.18471423
 0.00465882 0.04044051 0.         0.         0.02487803 0.
 0.         0.         0.         0.        ]","[0.         0.         0.         0.         0.         0.
 1.         1.         1.         1.         0.15422739 0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         1.         0.         1.
 0.00253796 0.         0.         1.         1.         0.93128207
 1.         0.         0.         0.         0.         0.15526236
 1.         0.         0.         1.        ]",0.04997865438759702,0.0447152655746109
antonpup_Aurora,7,"[0.34228231 0.97965018 0.54994346 0.8070848  0.62798808 0.57525082
 1.         0.71469239 1.         1.         0.74023564 0.79780615
 0.5281809  0.57332561 0.79298146 1.         0.87077159 0.3541108
 0.83233811 0.46273107 0.88451762 0.90605887 0.88565012 0.91300649
 0.28190757 0.5520273  1.         1.         0.86282248 1.
 0.98981788 0.69599909 0.89186444 1.         0.51570892 0.98271429
 0.89557072 0.93771709 1.         0.24951638]","[0.         0.         0.         0.         0.         0.
 0.         0.         1.         1.         0.         0.
 0.         0.12686469 1.         0.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.38817029 1.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.30533498 0.        ]",0.05000321318056892,0.009518283938003868
antonpup_Aurora,9,"[0.00000000e+00 2.97131167e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.72037140e-05 1.37880709e-03 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 7.17338293e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.24081365e-03 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.19520217e-05
 9.76311206e-04 2.42582229e-03 0.00000000e+00 0.00000000e+00
 7.34078698e-05 0.00000000e+00 0.00000000e+00 1.09000156e-03
 2.74447480e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[1.         0.         0.         0.         0.         0.
 0.         0.         1.         0.23197495 0.         0.
 0.         0.17214677 0.         0.         0.         0.
 0.         0.         0.         0.         1.         0.
 0.         0.         0.         0.         1.         1.
 0.         0.         0.         0.         0.97877142 0.
 1.         0.         0.         1.        ]",0.013729976493258671,0.005801838697343344
antonpup_Aurora,11,"[0.01023507 0.05081895 0.00631398 0.07447648 0.01234669 0.
 0.00754512 0.01454661 0.03912115 0.1453213  0.01277369 0.01933909
 0.02254167 0.00944327 0.01075296 0.03337113 0.06379538 0.01417542
 0.02500875 0.09040155 0.02870963 0.12787861 0.02594914 0.02807747
 0.03384965 0.00157183 0.02520094 0.00710647 0.05594712 0.14841272
 0.02846086 0.00028818 0.00601957 0.00240902 0.02604084 0.0336007
 0.00465643 0.09868389 0.03760064 0.00556557]","[0.         0.01560094 0.         0.         0.         0.
 0.         0.         0.03104294 0.01608665 0.         0.02318552
 0.         0.         0.00275008 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07724142 0.00137176 0.10819076
 0.         0.         0.         0.         0.         0.00164137
 0.         0.         0.         0.        ]",0.02896886550173382,0.006008153666008314
