project_name,k,best_solution_gwo_sammon,best_solution_gwo_kruskal,best_fitness_gwo_sammon,best_fitness_gwo_kruskal
simon-knuth_scanner,21,"[0.0590228  0.17135018 0.29343941 0.82505929 0.39398362 0.92415736
 0.23710343 0.26996486 0.56833213 1.         0.92521589 0.3880221
 0.13989697 0.56512701 1.         0.42819146 0.72464482 0.95857796
 0.36247271 0.32266222 0.         1.         0.07097312 0.
 0.82673242 1.         0.57991247 1.         0.56444576 1.
 0.26318096 0.18925993 0.59214408 0.18694631 0.10989442 0.63322451
 0.53277427 0.30712906 0.27843985 0.47391719]","[0.25342629 0.59270205 0.18388724 0.57362848 0.11325459 0.69513902
 0.13132329 0.13857292 0.92198391 0.87769609 0.55462731 0.64688014
 0.41788401 0.44413128 0.11625823 0.86204116 0.25645434 0.
 0.50067447 0.03930213 0.02895237 1.         0.06778946 0.21200208
 0.17233995 0.29197083 0.00824404 0.29119676 0.57755556 0.42843227
 0.08391365 0.0201381  0.05571333 0.59039864 0.10503888 0.32647554
 0.28161313 0.5199947  0.26406111 0.95071763]",1.4852169726938312e-08,3.17274254887363e-08
simon-knuth_scanner,23,"[0.29294812 0.4916217  0.06985974 0.57615836 0.55772006 1.
 0.18541949 0.47054493 0.58157196 1.         0.5078416  0.02708875
 0.60897824 0.68372999 0.46610374 0.23707402 0.20745595 0.41444747
 0.33213623 0.         0.27101757 0.51338065 0.48147511 0.25497755
 0.0459212  1.         0.55071223 0.79647018 1.         0.94206917
 0.07652215 1.         0.23438303 1.         0.28285354 1.
 1.         0.05888317 0.66692843 0.51767784]","[0.15703797 0.25034039 0.23144892 0.71467693 0.00997324 0.45852059
 0.20751817 0.03127405 0.70344808 0.61248019 0.92738258 0.56340675
 0.69531233 0.28479729 0.57654486 0.67444938 0.08568124 0.16585019
 0.11692924 0.15164762 0.13369852 0.9487214  0.80943161 0.10832016
 0.20443314 0.09521777 1.         0.53413534 0.54372487 1.
 0.11239158 0.34547309 0.3328431  0.31786359 0.09345217 0.07543334
 0.39046531 0.59232536 0.24118834 0.45851818]",3.17274254887363e-08,8.788018930396083e-09
simon-knuth_scanner,25,"[0.64033314 0.48831497 0.16059122 1.         0.46650809 0.6380966
 0.         0.04338269 0.34019982 0.76976095 0.27645278 0.16148137
 1.         0.02030076 0.07633975 0.3121962  0.06508744 0.30278579
 0.01455604 0.21415878 0.16323833 1.         0.37079141 0.0412637
 0.23322943 0.08358677 0.38886217 0.84250389 0.69454752 0.5831038
 0.53317792 0.73976488 0.51946373 0.4436229  0.08418915 1.
 0.77962737 0.49408548 0.33242771 0.52071256]","[0.22808837 0.5391517  0.22364576 0.78637557 0.95759748 0.86120913
 0.15867995 0.6910706  0.54936451 0.81830075 0.03584829 0.7488243
 0.35555885 1.         0.16553967 0.37065777 0.35111178 0.14980642
 0.13002508 0.14239667 0.31552837 0.91814178 0.47757462 0.14686049
 0.04652583 0.41193207 0.55652803 0.65866363 0.98690218 1.
 0.20044193 0.18588875 0.79217763 0.50898308 0.01107029 0.44762385
 0.56313525 0.64646793 0.24395514 0.75543335]",3.514943947253417e-10,0.0
simon-knuth_scanner,27,"[0.2451846  0.27863899 0.71228441 0.33329791 1.         0.92315911
 0.55082457 0.22555318 0.97578728 0.58044595 0.         0.83264202
 0.6577831  0.16113903 0.9322809  0.34115551 0.55859006 0.30366776
 0.17998321 0.36257154 0.0361781  0.65696342 0.35761469 0.19349391
 0.35847399 0.03462943 0.97134285 0.44770316 1.         0.51563045
 0.25684017 0.11496025 0.41029094 1.         0.52127782 1.
 0.43376993 0.73200061 0.0668729  1.        ]","[0.         0.09199053 0.3670256  0.5332103  0.15128834 0.46644076
 0.         0.         0.33741765 1.         0.0854476  0.
 0.36544552 0.55351375 0.12454509 0.34565877 0.27850998 0.80379811
 0.55623124 0.22036575 0.41115875 1.         0.61157824 0.36907423
 0.02650319 0.0680388  0.         0.64344322 0.6181747  0.48415134
 0.31717558 0.42801855 0.39759934 0.60418334 0.69430328 1.
 0.45661013 0.97723921 0.04109671 0.46201407]",7.908698019702592e-10,1.0633602599453192e-08
simon-knuth_scanner,29,"[0.35516341 0.18175773 0.12828348 0.49181713 1.         0.72660507
 0.13797025 0.84516007 0.6593212  0.43656591 0.         0.
 0.86183565 0.4073252  0.99328709 0.26649595 0.59198441 0.
 0.2248035  0.36107676 0.37032441 0.31543541 0.         0.37206
 0.65060819 0.37134945 0.24473915 0.29899527 0.43733006 0.74798928
 0.24294076 0.55755529 0.72186867 1.         0.14383295 0.75790891
 0.64448158 0.27169325 0.19136898 0.47461003]","[0.41039717 0.         0.24312331 0.21283639 0.14013885 0.78695412
 1.         0.75765435 1.         1.         0.09350709 0.37536745
 0.66324067 0.71322557 0.09168309 0.97740351 0.66906392 0.44287836
 0.25082538 0.         0.10277904 0.57897662 0.27142067 1.
 0.         0.01469001 0.39351724 0.70284313 0.90643188 0.25179464
 0.         0.         0.30539342 0.60479082 0.         1.
 0.27013118 0.66649952 0.25148761 0.31041529]",3.514943947253417e-10,3.514943947253417e-10
simon-knuth_scanner,31,"[1.27750809e-02 4.75008936e-01 2.29150053e-01 1.34118269e-01
 2.31826018e-01 1.00000000e+00 0.00000000e+00 1.28948770e-01
 4.10224386e-01 6.00607082e-01 4.90570655e-01 7.53529819e-02
 1.00000000e+00 3.56682090e-03 8.29196316e-01 7.74116072e-01
 0.00000000e+00 1.89285056e-01 0.00000000e+00 1.98496913e-01
 0.00000000e+00 5.47589838e-01 7.62635312e-01 0.00000000e+00
 7.96568387e-01 1.92382020e-02 6.30506520e-01 3.99694231e-01
 9.81690360e-01 2.11655553e-01 4.11749200e-01 4.74674131e-01
 8.14047246e-02 3.67963583e-02 4.19279297e-04 3.43844517e-01
 6.94740450e-01 1.72831252e-01 9.08341192e-01 5.11732441e-01]","[0.51670713 0.25768357 0.62750205 0.3662227  0.         0.58402632
 0.06888469 0.         0.51973503 1.         1.         0.11704501
 1.         0.50606551 0.85049395 0.2241033  0.1869903  0.261312
 0.270142   0.         0.44709351 0.53842379 0.32513243 0.13253986
 0.2504999  0.3944024  0.34260658 0.27693205 0.78404812 0.18938442
 0.         0.37158024 0.38819939 0.39984699 0.13752962 0.22306987
 0.35040002 0.41370421 0.14401511 0.66126656]",3.514943947253417e-10,0.0
simon-knuth_scanner,33,"[0.1040836  0.61988394 0.29717478 1.         0.63098301 0.64372883
 0.35521238 0.75299996 0.74984686 0.92218301 0.18450845 0.38016927
 0.49257792 0.42049526 0.6627926  0.55014351 1.         1.
 0.         0.         0.44608751 1.         0.56341815 0.38743097
 0.68639647 0.81391317 0.86746089 0.75732514 0.76625449 0.58999213
 1.         0.         0.67689127 0.48539128 0.         0.45217831
 0.3874972  0.39373382 0.78387719 0.45570513]","[1.         0.77913721 0.93459192 0.42168317 0.39961637 0.14513768
 0.18086786 0.20390083 1.         0.53929634 0.04691516 0.06098352
 0.5697733  0.17253888 0.32896454 0.30424018 0.08320828 0.99244488
 0.         0.52331534 0.         0.53245328 0.38312883 0.00269253
 0.         0.57899437 1.         1.         0.71454945 0.31797204
 1.         0.62021106 0.66637286 0.36846897 0.39150202 0.39133739
 0.54121333 1.         0.8125846  1.        ]",0.0,0.0
simon-knuth_scanner,35,"[0.56337483 0.78856229 0.59711456 0.74213593 0.45266845 0.80867943
 0.49138714 0.87563545 0.63562252 0.21510945 0.09287068 0.38456645
 0.46104947 0.77396555 0.44159572 0.58604393 1.         0.98894022
 0.6108206  0.72241967 0.79972935 0.82671115 0.4694876  0.43380492
 1.         0.4204448  0.4390043  0.67686536 0.59786906 1.
 0.01575517 0.19291828 0.55876326 0.94032374 0.10759509 0.75903958
 0.65678357 0.99274489 0.18343122 0.32944581]","[0.74239089 0.8026046  0.15299974 0.30187867 0.07726798 0.83874225
 0.28121676 0.24024684 0.95919174 0.97828283 0.84297715 0.92377185
 0.43643136 0.41106045 0.09851163 0.16773843 0.34667343 0.25394514
 0.65667969 0.13520023 0.24290164 0.5728478  0.68927163 0.43114727
 0.71510605 0.67263384 0.27578515 0.23371238 0.17797592 0.9257074
 0.6262601  0.82450559 0.82706681 0.46610781 0.09658217 0.98954643
 0.67803647 0.74665701 0.1790249  0.60053514]",0.0,0.0
simon-knuth_scanner,37,"[0.44593272 0.95521914 0.76422306 0.53064752 0.03926709 0.11788091
 0.49188356 0.3026125  0.14831194 0.27249257 0.42597984 0.65142421
 0.5048984  0.25551189 0.66200516 0.0548771  0.58677238 0.55313094
 0.01268918 0.64412971 0.29645751 0.7229155  0.42139232 0.42262645
 0.5584023  0.97709809 0.88815107 0.71095192 0.58992874 0.85210729
 0.05138933 0.97365169 0.98561975 0.61229634 0.4333637  0.17481689
 0.79650101 0.4266763  0.75425299 0.70577136]","[0.74239089 0.8026046  0.15299974 0.30187867 0.07726798 0.83874225
 0.28121676 0.24024684 0.95919174 0.97828283 0.84297715 0.92377185
 0.43643136 0.41106045 0.09851163 0.16773843 0.34667343 0.25394514
 0.65667969 0.13520023 0.24290164 0.5728478  0.68927163 0.43114727
 0.71510605 0.67263384 0.27578515 0.23371238 0.17797592 0.9257074
 0.6262601  0.82450559 0.82706681 0.46610781 0.09658217 0.98954643
 0.67803647 0.74665701 0.1790249  0.60053514]",0.0,0.0
simon-knuth_scanner,39,"[0.73972243 0.24711596 0.5343549  0.61410787 0.68747839 0.49751272
 0.23888521 0.97882774 0.94305008 0.34549237 0.20470632 0.39288805
 0.64132578 0.52166094 0.82025062 0.37505673 0.95406705 0.9829425
 0.90256033 0.23244033 0.87924832 0.92282997 0.06531871 0.19481919
 0.76887363 0.06894881 0.20826654 0.80166049 0.38486769 0.65747701
 0.10978243 0.007351   0.68501886 0.79197351 0.6427393  0.53924388
 0.22626721 0.21655302 0.70896445 0.56817757]","[0.11248542 0.76585345 0.66979648 0.26991352 0.96038435 0.29092993
 0.53751368 0.21429346 0.50573366 0.88470383 0.45352642 0.0853
 0.62735345 0.72615481 0.73346284 0.64694588 0.38680295 0.36807726
 0.04907006 0.29616577 0.02509722 0.52315037 0.64251993 0.7179652
 0.27387941 0.9543927  0.27507453 0.04327857 0.12699893 0.69975722
 0.30111704 0.53018346 0.62639128 0.25485404 0.72923992 0.77131659
 0.37243407 0.32307422 0.0125843  0.12959635]",0.0,0.0
