project_name,k,best_solution_gwo_sammon,best_solution_gwo_kruskal,best_fitness_gwo_sammon,best_fitness_gwo_kruskal
microsoft_powerapps-tools,14,"[0.56414437 0.26692864 0.44545308 0.40474786 0.57711227 0.73170611
 0.09166749 0.66512144 0.16787855 0.92949831 0.38320113 0.79905894
 0.98450798 0.24162315]","[0.30662542 0.45822637 0.73116488 0.95830804 0.68141691 0.41328939
 0.09249437 0.35816346 0.42406886 0.77591619 0.69628929 0.76812229
 0.09827066 0.78625518]",0.0,0.0
figormartins_pokemon,1,"[0.65092248 0.13002309 0.39135084 0.51644304 0.60688416 0.55143783
 0.78484111 0.12725126 0.08407849 0.86921888 0.6940052  0.50489249
 0.95807651 0.08790681]","[0.27082156 0.4880301  0.50667291 0.36167055 0.94197586 0.35134091
 0.30442888 0.63223453 0.91146193 0.51600911 0.25390161 0.93983761
 1.         0.        ]",0.23440410142949641,0.12660302867005682
figormartins_pokemon,2,"[0.16856345 0.07156796 0.369939   0.55197939 0.33414919 0.36140658
 0.         0.         0.08071995 0.62863779 0.483187   0.65451094
 1.         0.57985067]","[0.         0.37475807 0.12206474 0.53752501 0.6205261  0.51790545
 0.         0.57222398 0.33826596 0.26642619 0.31713757 0.64774414
 0.99519614 0.56138696]",0.12847137703908837,0.039705999761690806
figormartins_pokemon,3,"[0.36333501 0.6405734  0.75993684 0.89905213 0.39974872 0.70291574
 0.18600645 0.5007064  0.30614721 0.73130408 0.16027345 0.8019332
 0.94571083 0.53623578]","[0.37372643 0.37067492 0.38010513 1.         0.13495678 1.
 0.22025136 0.65047444 0.43122032 0.76668323 0.31928327 1.
 1.         0.        ]",0.06743845231048035,0.01744896982685029
figormartins_pokemon,4,"[0.1431323  0.19575248 0.09769391 0.70212587 0.         0.92199605
 0.31644206 0.41514759 0.40488349 0.19035159 0.55165255 0.92998783
 0.94715629 0.68493205]","[0.30056714 0.17103656 0.46459434 0.97647084 0.74238453 0.79106062
 0.20324768 0.67435865 0.27159688 0.3969919  0.56596936 0.858906
 1.         0.        ]",0.024598753313671222,0.006684674354705974
figormartins_pokemon,5,"[0.24741027 0.59720409 0.53003621 0.82732724 0.86062279 0.60319424
 0.28782375 0.44057658 0.34124804 0.40811027 0.59382768 0.70883787
 0.86549531 0.52756975]","[0.20654974 0.48274647 0.53705575 0.56113656 0.55203432 1.
 0.29946782 0.         0.16831615 0.1581584  0.         1.
 0.84518263 0.33124033]",0.01051664582394929,0.0011110609740875971
figormartins_pokemon,6,"[0.2716738  0.06622487 0.36554062 0.9671868  0.8820567  0.45684483
 0.28059812 0.39377567 0.26233008 0.066586   0.03698766 1.
 0.60808344 0.37544895]","[0.20494914 0.32533009 0.50823949 0.59220187 0.52382643 0.94543145
 0.25885769 0.76537227 0.         0.06002891 0.15123548 0.66934973
 1.         0.07052433]",0.008158600138900926,0.0005093647331475958
figormartins_pokemon,7,"[0.01531298 0.34490404 0.43448491 0.63815933 0.452231   0.7466029
 0.         0.0920598  0.25829825 0.49016397 0.11005596 1.
 0.50187743 1.        ]","[0.39664144 0.         0.27562437 0.6357024  0.94127666 0.71569382
 0.11734386 0.04800847 1.         0.53883489 0.56292206 0.86887744
 0.62983373 0.60847149]",0.002008806597604521,0.000316414377737696
figormartins_pokemon,8,"[0.         0.03304521 0.00326495 0.96569473 0.68846537 0.65243925
 0.36480812 0.83888528 1.         1.         0.62548977 0.75593831
 0.6624215  0.04904484]","[0.26498145 0.05593933 0.34655492 0.89321049 1.         1.
 0.24847833 0.00709433 1.         0.55191063 0.50222705 0.729934
 0.93525668 0.56099598]",0.0007859507610546389,0.00022463863996762803
figormartins_pokemon,9,"[0.18406254 0.11403802 0.38131253 0.82672953 0.82230231 0.86139476
 0.55412241 0.56496732 0.67754427 0.76766055 0.07328803 0.72753133
 1.         0.1356154 ]","[0.02849468 0.31060694 0.07782224 0.66607674 1.         0.89345449
 0.16732997 0.45779418 0.76709097 0.4420258  0.33845968 0.4364506
 0.88992222 0.56006068]",0.00026954743425773364,1.0850085512137393e-05
